OriginalName	ID	RoundtripName	Match
Atorvastatin	PUBCHEM.COMPOUND:60823	Atorvastatin	True
Levothyroxine	PUBCHEM.COMPOUND:25201348	Levothyroxine	True
Lisinopril	PUBCHEM.COMPOUND:11865407	Lisinopril	True
Metformin	PUBCHEM.COMPOUND:4091	Metformin	True
Metoprolol	PUBCHEM.COMPOUND:4171	Metoprolol	True
Amlodipine	PUBCHEM.COMPOUND:2162	Amlodipine	True
Albuterol	PUBCHEM.COMPOUND:2083	Salbutamol	False
Omeprazole	CHEBI:7772	Omeprazole	True
Losartan	PUBCHEM.COMPOUND:3961	Losartan	True
Gabapentin	PUBCHEM.COMPOUND:3446	Gabapentin	True
Hydrochlorothiazide	PUBCHEM.COMPOUND:3639	Hydrochlorothiazide	True
Sertraline	PUBCHEM.COMPOUND:68617	Sertraline	True
Simvastatin	PUBCHEM.COMPOUND:54454	Simvastatin	True
Montelukast	PUBCHEM.COMPOUND:5281040	Montelukast	True
Acetaminophen; Hydrocodone	PUBCHEM.COMPOUND:1983	Acetaminophen	False
Pantoprazole	PUBCHEM.COMPOUND:4679	Pantoprazole	True
Furosemide	PUBCHEM.COMPOUND:118985385	4-Chloro-2-[(furan-2-ylmethyl)ammonio]-5-sulfamoylbenzoate	False
Fluticasone	PUBCHEM.COMPOUND:5311101	Fluticasone	True
Escitalopram	PUBCHEM.COMPOUND:146570	Escitalopram	True
Fluoxetine	CHEBI:5118	Fluoxetine	True
Rosuvastatin	PUBCHEM.COMPOUND:446157	Rosuvastatin	True
Bupropion	PUBCHEM.COMPOUND:444	Bupropion	True
Amoxicillin	PUBCHEM.COMPOUND:33613	Amoxicillin	True
Dextroamphetamine; Dextroamphetamine Saccharate; Amphetamine; Amphetamine Aspartate	PUBCHEM.COMPOUND:5826	Dextroamphetamine	False
Trazodone	PUBCHEM.COMPOUND:5533	Trazodone	True
Duloxetine	PUBCHEM.COMPOUND:122252	N-Methyl-gamma-(1-naphthalenyloxy)-2-thiophenepropanamine	False
Prednisone	PUBCHEM.COMPOUND:5865	Prednisone	True
Tamsulosin	PUBCHEM.COMPOUND:129211	Tamsulosin	True
Ibuprofen	PUBCHEM.COMPOUND:3672	Ibuprofen	True
Citalopram	CHEBI:3723	Citalopram	True
Meloxicam	PUBCHEM.COMPOUND:54677470	Meloxicam	True
Pravastatin	PUBCHEM.COMPOUND:54687	Pravastatin	True
Carvedilol	PUBCHEM.COMPOUND:2585	Carvedilol	True
Potassium	PUBCHEM.COMPOUND:5462222	Potassium	True
Tramadol	CHEBI:9648	Tramadol	True
Clopidogrel	PUBCHEM.COMPOUND:60606	Clopidogrel	True
Insulin Glargine	PUBCHEM.COMPOUND:118984454	Insulin glargine	False
Aspirin	PUBCHEM.COMPOUND:2244	Aspirin	True
Atenolol	PUBCHEM.COMPOUND:2249	Atenolol	True
Venlafaxine	PUBCHEM.COMPOUND:5656	Venlafaxine	True
Alprazolam	PUBCHEM.COMPOUND:2118	Alprazolam	True
Ethinyl Estradiol; Norethindrone	PUBCHEM.COMPOUND:5991	Ethinyl estradiol	False
Allopurinol	PUBCHEM.COMPOUND:135401907	Allopurinol	True
Hydrochlorothiazide; Lisinopril	PUBCHEM.COMPOUND:3639	Hydrochlorothiazide	False
Cyclobenzaprine	PUBCHEM.COMPOUND:2895	Cyclobenzaprine	True
Clonazepam	PUBCHEM.COMPOUND:2802	Clonazepam	True
Zolpidem	PUBCHEM.COMPOUND:5732	Zolpidem	True
Azithromycin	PUBCHEM.COMPOUND:447043	Azithromycin	True
Oxycodone	PUBCHEM.COMPOUND:5284603	Oxycodone	True
Warfarin	CHEBI:10033	Warfarin	True
Methylphenidate	CHEBI:6887	Methylphenidate hydrochloride	False
Apixaban	PUBCHEM.COMPOUND:10182969	Apixaban	True
Ranitidine	PUBCHEM.COMPOUND:3001055	Ranitidine	True
Glipizide	PUBCHEM.COMPOUND:3478	Glipizide	True
Ergocalciferol	PUBCHEM.COMPOUND:5280793	Ergocalciferol	True
Quetiapine	PUBCHEM.COMPOUND:5002	Quetiapine	True
Budesonide; Formoterol	PUBCHEM.COMPOUND:5281004	Budesonide	False
Estradiol	PUBCHEM.COMPOUND:5757	Estradiol	True
Acetaminophen; Oxycodone	PUBCHEM.COMPOUND:1983	Acetaminophen	False
Ondansetron	PUBCHEM.COMPOUND:4595	Ondansetron	True
Naproxen	PUBCHEM.COMPOUND:156391	Naproxen	True
Glimepiride	CHEMBL.COMPOUND:CHEMBL1481	GLIMEPIRIDE	False
Spironolactone	PUBCHEM.COMPOUND:5833	Spironolactone	True
Clonidine	CHEBI:46631	clonidine	False
Insulin Lispro	PUBCHEM.COMPOUND:16132438	Insulin lispro	False
Loratadine	PUBCHEM.COMPOUND:3957	Loratadine	True
Cetirizine	PUBCHEM.COMPOUND:2678	Cetirizine	True
Topiramate	PUBCHEM.COMPOUND:5284627	Topiramate	True
Lorazepam	PUBCHEM.COMPOUND:3958	Lorazepam	True
Ethinyl Estradiol; Norgestimate	PUBCHEM.COMPOUND:5991	Ethinyl estradiol	False
Lamotrigine	PUBCHEM.COMPOUND:3878	Lamotrigine	True
Diltiazem	PUBCHEM.COMPOUND:39186	Diltiazem	True
Hydrochlorothiazide; Losartan	PUBCHEM.COMPOUND:3639	Hydrochlorothiazide	False
Diclofenac	PUBCHEM.COMPOUND:3033	Diclofenac	True
Hydroxyzine	PUBCHEM.COMPOUND:3658	Hydroxyzine	True
Buspirone	PUBCHEM.COMPOUND:2477	Buspirone	True
Latanoprost	PUBCHEM.COMPOUND:5311221	Latanoprost	True
Paroxetine	PUBCHEM.COMPOUND:43815	Paroxetine	True
Lisdexamfetamine	PUBCHEM.COMPOUND:11597698	Lisdexamfetamine	True
Fluticasone; Salmeterol	PUBCHEM.COMPOUND:5311101	Fluticasone	False
Pregabalin	PUBCHEM.COMPOUND:25271887	Pregabalin	True
Propranolol	PUBCHEM.COMPOUND:4946	Propranolol	True
Cephalexin	PUBCHEM.COMPOUND:27447	Cephalexin	True
Cholecalciferol	PUBCHEM.COMPOUND:5280795	Cholecalciferol	True
Insulin Aspart	PUBCHEM.COMPOUND:118984445	Insulin aspart	False
Finasteride	PUBCHEM.COMPOUND:57363	Finasteride	True
