Rank	Drug Name	Total Prescriptions (2019)	Total Patients (2019)	Annual Change
1	Atorvastatin	112,104,359	24,493,971	0
2	Levothyroxine	102,595,103	19,698,087	0
3	Lisinopril	91,862,708	19,990,170	0
4	Metformin	85,739,443	17,430,765	0
5	Metoprolol	74,578,817	15,177,787	 1
6	Amlodipine	73,542,114	16,419,181	 1
7	Albuterol	60,679,987	19,085,418	0
8	Omeprazole	52,546,641	12,869,290	0
9	Losartan	51,773,869	11,760,646	0
10	Gabapentin	47,149,505	9,818,634	 1
11	Hydrochlorothiazide	38,609,803	9,358,879	 2
12	Sertraline	37,157,933	7,723,122	 2
13	Simvastatin	36,812,966	8,543,612	 3
14	Montelukast	32,154,358	7,429,725	 1
15	Acetaminophen; Hydrocodone	30,355,778	10,409,764	 3
16	Pantoprazole	28,880,217	6,777,996	 2
17	Furosemide	28,352,226	6,640,042	0
18	Fluticasone	27,893,102	9,564,147	 1
19	Escitalopram	27,510,958	6,016,820	 2
20	Fluoxetine	27,110,302	5,143,421	 2
21	Rosuvastatin	27,041,319	6,129,254	 7
22	Bupropion	25,722,873	5,520,278	 5
23	Amoxicillin	25,702,634	20,368,921	 7
24	Dextroamphetamine; Dextroamphetamine Saccharate; Amphetamine; Amphetamine Aspartate	24,600,698	3,576,687	0
25	Trazodone	23,934,213	5,066,449	 5
26	Duloxetine	23,821,965	4,296,613	 9
27	Prednisone	22,889,929	10,999,246	 7
28	Tamsulosin	21,934,065	5,309,654	 3
29	Ibuprofen	21,746,702	10,951,995	 3
30	Citalopram	21,546,700	4,050,776	 4
31	Meloxicam	21,459,849	6,484,210	 2
32	Pravastatin	20,683,277	4,875,694	 3
33	Carvedilol	20,602,256	4,553,133	 1
34	Potassium	20,001,670	4,589,222	 5
35	Tramadol	19,838,715	5,496,843	 10
36	Clopidogrel	19,447,746	4,256,662	 1
37	Insulin Glargine	19,211,653	3,708,654	 14
38	Aspirin	18,143,138	4,646,616	0
39	Atenolol	18,091,488	3,788,125	 2
40	Venlafaxine	17,713,653	3,035,802	 9
41	Alprazolam	17,533,262	3,925,013	 5
42	Ethinyl Estradiol; Norethindrone	16,505,642	3,462,531	 15
43	Allopurinol	15,900,788	3,637,367	 5
44	Hydrochlorothiazide; Lisinopril	15,709,833	3,277,894	 6
45	Cyclobenzaprine	15,597,385	5,379,870	 3
46	Clonazepam	15,578,495	2,347,398	0
47	Zolpidem	15,419,648	3,013,103	 13
48	Azithromycin	15,300,433	11,577,286	 3
49	Oxycodone	14,669,103	4,730,687	 2
50	Warfarin	14,632,370	2,789,155	 1
51	Methylphenidate	14,233,405	2,173,470	 7
52	Apixaban	14,042,889	3,037,557	 13
53	Ranitidine	13,586,751	3,781,812	 13
54	Glipizide	13,424,610	2,939,354	 11
55	Ergocalciferol	13,273,652	4,124,239	 6
56	Quetiapine	13,114,560	1,966,742	 3
57	Budesonide; Formoterol	12,473,902	2,754,790	 5
58	Estradiol	12,393,425	2,860,475	 2
59	Acetaminophen; Oxycodone	11,962,650	3,850,554	 6
60	Ondansetron	11,856,066	5,284,836	 4
61	Naproxen	11,762,233	4,575,857	 6
62	Glimepiride	11,504,531	2,277,208	 8
63	Spironolactone	11,432,027	2,985,578	0
64	Clonidine	11,418,367	2,178,697	 9
65	Insulin Lispro	11,389,229	2,433,328	 28
66	Loratadine	11,374,226	3,311,472	 9
67	Cetirizine	11,110,560	3,439,020	 12
68	Topiramate	10,927,224	2,035,700	 23
69	Lorazepam	10,875,212	2,837,061	 11
70	Ethinyl Estradiol; Norgestimate	10,860,083	2,372,165	 10
71	Lamotrigine	10,690,317	1,818,670	 3
72	Diltiazem	10,604,813	2,159,158	 4
73	Hydrochlorothiazide; Losartan	10,268,139	2,318,012	 19
74	Diclofenac	10,115,975	4,025,423	 7
75	Hydroxyzine	9,898,263	2,977,526	 2
76	Buspirone	9,881,603	2,172,778	 19
77	Latanoprost	9,800,569	2,454,924	 7
78	Paroxetine	9,783,755	2,043,795	 6
79	Lisdexamfetamine	9,775,262	1,485,285	 3
80	Fluticasone; Salmeterol	9,762,036	2,315,744	 14
81	Pregabalin	9,625,189	1,731,352	 12
82	Propranolol	9,277,061	2,421,089	 30
83	Cephalexin	9,246,463	6,267,878	 2
84	Cholecalciferol	9,068,152	2,424,272	 15
85	Insulin Aspart	9,067,406	1,854,475	 11
86	Finasteride	8,986,897	2,314,978	 2
87	Fenofibrate	8,970,219	2,057,889	 16
88	Sitagliptin	8,866,811	1,649,524	 5
89	Folic Acid	8,860,645	2,096,607	 18
90	Doxycycline	8,809,374	5,335,777	 11
91	Rivaroxaban	8,799,404	1,988,539	 11
92	Tizanidine	8,729,694	2,243,428	 5
93	Amoxicillin; Clavulanate	8,372,244	6,468,086	 1
94	Amitriptyline	8,178,156	1,861,683	 16
95	Lovastatin	8,091,735	1,897,500	 5
96	Alendronate	7,811,899	2,010,715	 10
97	Levetiracetam	7,560,850	1,443,028	 1
98	Sumatriptan	7,050,329	1,839,891	 14
99	Hydralazine	6,655,156	1,694,706	 1
100	Sulfamethoxazole; Trimethoprim	6,630,866	4,339,439	 6
101	Aripiprazole	6,625,791	1,370,773	 2
102	Celecoxib	6,595,236	1,905,201	 29
103	Ferrous Sulfate	6,417,568	2,135,927	 14
104	Famotidine	6,355,768	2,287,703	 11
105	Benzonatate	6,354,434	3,974,773	 9
106	Mirtazapine	6,332,488	1,231,211	 5
107	Triamcinolone	6,320,751	4,026,933	 1
108	Ezetimibe	6,221,674	1,427,468	 21
109	Fluticasone; Vilanterol	6,098,161	1,248,072	 11
110	Valacyclovir	5,987,835	2,824,569	 34
111	Methotrexate	5,937,198	1,082,328	 17
112	Oxybutynin	5,901,953	1,476,858	 8
113	Ciprofloxacin	5,878,441	4,027,141	 6
114	Valproate	5,824,937	910,407	 21
115	Triamterene; Hydrochlorothiazide	5,792,730	1,313,745	 3
116	Thyroid	5,729,895	1,015,144	 7
117	Diazepam	5,711,206	1,600,062	 1
118	Nifedipine	5,638,841	1,235,265	 6
