_id	drug_inxight	disease_omim	drug_name	disease_name	nref
11429-OMIM:603552-6PLQ3CP4P3	UNII:6PLQ3CP4P3	OMIM:603552	Etoposide	HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 4; FHL4	6
704-OMIM:617718-66Y330CJHS	UNII:66Y330CJHS	OMIM:617718	Human immunoglobulin G	IMMUNODEFICIENCY 71 WITH INFLAMMATORY DISEASE AND CONGENITAL THROMBOCYTOPENIA	3
11117-OMIM:253400-5Z9SP3X666	UNII:5Z9SP3X666	OMIM:253400	Nusinersen	SPINAL MUSCULAR ATROPHY, TYPE III	5
19750-OMIM:243150-66Y330CJHS	UNII:66Y330CJHS	OMIM:243150	Human immunoglobulin G	GASTROINTESTINAL DEFECTS AND IMMUNODEFICIENCY SYNDROME	10
1366-OMIM:274150-U5SFU33XUX	UNII:U5SFU33XUX	OMIM:274150	Apadamtase alfa	THROMBOTIC THROMBOCYTOPENIC PURPURA, HEREDITARY	25
4696-OMIM:253220-7XZ4062R17	UNII:7XZ4062R17	OMIM:253220	Vestronidase alfa	MUCOPOLYSACCHARIDOSIS, TYPE VII	5
2578-OMIM:306400-21K6M2I7AG	UNII:21K6M2I7AG	OMIM:306400	Interferon gamma-1b	GRANULOMATOUS DISEASE, CHRONIC, X-LINKED; CGDX	77
2591-OMIM:202010-WI4X0X7BPJ	UNII:WI4X0X7BPJ	OMIM:202010	Hydrocortisone	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO STEROID 11-BETA-HYDROXYLASE DEFICIENCY	5
5964-OMIM:613148-B72HH48FLU	UNII:B72HH48FLU	OMIM:613148	Infliximab	INFLAMMATORY BOWEL DISEASE 28, AUTOSOMAL RECESSIVE	42
3551-OMIM:306900-27Y83O992Q	UNII:27Y83O992Q	OMIM:306900	Nonacog beta pegol	HEMOPHILIA B	23
1133-OMIM:300755-66Y330CJHS	UNII:66Y330CJHS	OMIM:300755	Human immunoglobulin G	AGAMMAGLOBULINEMIA, X-LINKED	22
16902-OMIM:614923-HG18B9YRS7	UNII:HG18B9YRS7	OMIM:614923	Valine	BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY; BCKDKD	2
10969-OMIM:212140-0G389FZZ9M	UNII:0G389FZZ9M	OMIM:212140	Levocarnitine	CARNITINE DEFICIENCY, SYSTEMIC PRIMARY	4
7979-OMIM:177735-451W47IQ8X	UNII:451W47IQ8X	OMIM:177735	Sodium chloride	PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOMAL DOMINANT	15
