_id	drug_pubchem_cid	disease_umls	drug_name	disease_name	status	date
AAFJXZWCNVJTMK-GUCUJZIJSA-N	PUBCHEM.COMPOUND:15942827	UMLS:C4721610	1,2:5,6-dianhydrogalactitol	Ovarian Cancer	Designated	2016-04-19
AAFJXZWCNVJTMK-GUCUJZIJSA-N	PUBCHEM.COMPOUND:15942827	UMLS:C0025149	1,2:5,6-dianhydrogalactitol	Medulloblastoma	Designated	2016-03-10
AAOVKJBEBIDNHE-UHFFFAOYSA-N	PUBCHEM.COMPOUND:3016	UMLS:C0751122	diazepam	Dravet Syndrome	Designated	2018-05-23
AARXZCZYLAFQQU-UHFFFAOYSA-N	PUBCHEM.COMPOUND:12047567	UMLS:C0280100	motexafin gadolinium	solid tumors	Designated	2003-01-27
AARXZCZYLAFQQU-UHFFFAOYSA-N	PUBCHEM.COMPOUND:12047567	UMLS:C0220650	motexafin gadolinium	brain metastases	Designated	2003-01-27
AARXZCZYLAFQQU-UHFFFAOYSA-N	PUBCHEM.COMPOUND:12047567	UMLS:C0280100	motexafin gadolinium	solid tumors	Designated	2003-01-27
AARXZCZYLAFQQU-UHFFFAOYSA-N	PUBCHEM.COMPOUND:12047567	UMLS:C0220650	motexafin gadolinium	brain metastases	Designated	2003-01-27
ABASMUXUCSQFKC-PKEKLUKKSA-N	PUBCHEM.COMPOUND:121490254	UMLS:C2931133	mongersen	Pediatric Crohn's disease	Designated/Withdrawn	2015-07-20
ACGDKVXYNVEAGU-UHFFFAOYSA-N	PUBCHEM.COMPOUND:3518	UMLS:C0007462	Guanethidine monosulfate	Causalgia	Designated/Withdrawn	1986-01-06
ACGDKVXYNVEAGU-UHFFFAOYSA-N	PUBCHEM.COMPOUND:3518	UMLS:C0034931	Guanethidine monosulfate	Reflex Sympathetic Dystrophy	Designated/Withdrawn	1986-01-06
ACPCMBPQKQTAQY-UHFFFAOYSA-N	PUBCHEM.COMPOUND:67027333	UMLS:C0023467	N-[4-(3-amino-1H-indazol-4-yl)phenyl]-N1-(2-fluoro-5-methylphenyl) urea	Acute myelogenous leukemia	Designated/Withdrawn	2007-10-23
ACRHBAYQBXXRTO-OAQYLSRUSA-N	PUBCHEM.COMPOUND:132999	UMLS:C0340515	ivabradine	heart dysfunction	Designated/Withdrawn	2018-07-09
ACRHBAYQBXXRTO-OAQYLSRUSA-N	PUBCHEM.COMPOUND:132999	UMLS:C0007193	ivabradine	Dilated cardiomyopathy	Designated/Approved	2016-03-23
ACSROKXFXFNERX-UHFFFAOYSA-N	PUBCHEM.COMPOUND:51711	UMLS:C0338656	Pramiracetam Sulfate	Cognitive Dysfunction	Designated/Withdrawn	1991-11-04
ACTIUHUUMQJHFO-AMJCLVIFSA-N	PUBCHEM.COMPOUND:5354031	UMLS:C0162670	Ubiquinone	mitochondrial cytopathies	Designated	1999-12-14
ACTIUHUUMQJHFO-UPTCCGCDSA-N	PUBCHEM.COMPOUND:5281915	UMLS:C0235974	ubidecarenone	PANCREATIC CANCER	Designated	2017-11-08
ACTIUHUUMQJHFO-UPTCCGCDSA-N	PUBCHEM.COMPOUND:5281915	UMLS:C0020179	Coenzyme Q10	Huntington's Disease	Designated	2001-03-05
ACTIUHUUMQJHFO-UPTCCGCDSA-N	PUBCHEM.COMPOUND:5281915	UMLS:C0162670	Ubiquinone	mitochondrial cytopathies	Designated	1999-12-14
