Disease_Curie	Disease_Name	Gene_Curie	Gene_Name
ORPHANET:166024	Multiple epiphyseal dysplasia, Al-Gazali type	ENSEMBL:ENSG00000166813	kinesin family member 7
ORPHANET:93	Aspartylglucosaminuria	ENSEMBL:ENSG00000038002	aspartylglucosaminidase
ORPHANET:166035	Brachydactyly-short stature-retinitis pigmentosa syndrome	ENSEMBL:ENSG00000153015	CWC27 spliceosome associated cyclophilin
ORPHANET:585	Multiple sulfatase deficiency	ENSEMBL:ENSG00000144455	sulfatase modifying factor 1
ORPHANET:118	Beta-mannosidosis	ENSEMBL:ENSG00000109323	mannosidase beta
ORPHANET:166063	Pontocerebellar hypoplasia type 4	ENSEMBL:ENSG00000182173	tRNA splicing endonuclease subunit 54
ORPHANET:166078	Von Willebrand disease type 1	ENSEMBL:ENSG00000110799	von Willebrand factor
ORPHANET:166073	Pontocerebellar hypoplasia type 6	ENSEMBL:ENSG00000146282	arginyl-tRNA synthetase 2, mitochondrial
ORPHANET:166084	Von Willebrand disease type 2A	ENSEMBL:ENSG00000110799	von Willebrand factor
ORPHANET:333	Farber disease	ENSEMBL:ENSG00000104763	N-acylsphingosine amidohydrolase 1
ORPHANET:349	Fucosidosis	ENSEMBL:ENSG00000179163	alpha-L-fucosidase 1
ORPHANET:166090	Von Willebrand disease type 2M	ENSEMBL:ENSG00000110799	von Willebrand factor
ORPHANET:166087	Von Willebrand disease type 2B	ENSEMBL:ENSG00000110799	von Willebrand factor
ORPHANET:366	Glycogen storage disease due to glycogen debranching enzyme deficiency	ENSEMBL:ENSG00000162688	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
ORPHANET:166093	Von Willebrand disease type 2N	ENSEMBL:ENSG00000110799	von Willebrand factor
ORPHANET:368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	ENSEMBL:ENSG00000068976	glycogen phosphorylase, muscle associated
ORPHANET:166096	Von Willebrand disease type 3	ENSEMBL:ENSG00000110799	von Willebrand factor
ORPHANET:371	Glycogen storage disease due to muscle phosphofructokinase deficiency	ENSEMBL:ENSG00000152556	phosphofructokinase, muscle
ORPHANET:166105	FASTKD2-related infantile mitochondrial encephalomyopathy	ENSEMBL:ENSG00000118246	FAST kinase domains 2
ORPHANET:369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	ENSEMBL:ENSG00000100504	glycogen phosphorylase L
ORPHANET:447	Paroxysmal nocturnal hemoglobinuria	ENSEMBL:ENSG00000165195	phosphatidylinositol glycan anchor biosynthesis class A
ORPHANET:166108	Intellectual disability, Birk-Barel type	ENSEMBL:ENSG00000169427	potassium two pore domain channel subfamily K member 9
ORPHANET:166119	Isolated osteopoikilosis	ENSEMBL:ENSG00000174106	LEM domain containing 3
ORPHANET:166260	Dentinogenesis imperfecta type 2	ENSEMBL:ENSG00000152591	dentin sialophosphoprotein
ORPHANET:166265	Dentinogenesis imperfecta type 3	ENSEMBL:ENSG00000152591	dentin sialophosphoprotein
ORPHANET:166272	Odontochondrodysplasia	ENSEMBL:ENSG00000100815	thyroid hormone receptor interactor 11
ORPHANET:576	Mucolipidosis type II	ENSEMBL:ENSG00000111670	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta
ORPHANET:812	Sialidosis type 1	ENSEMBL:ENSG00000204386	neuraminidase 1
ORPHANET:578	Mucolipidosis type IV	ENSEMBL:ENSG00000090674	mucolipin TRP cation channel 1
ORPHANET:166286	Porokeratotic eccrine ostial and dermal duct nevus	ENSEMBL:ENSG00000165474	gap junction protein beta 2
ORPHANET:584	Mucopolysaccharidosis type 7	ENSEMBL:ENSG00000169919	glucuronidase beta
ORPHANET:825	NON RARE IN EUROPE: Ankylosing spondylitis	ENSEMBL:ENSG00000234745	major histocompatibility complex, class I, B
ORPHANET:166412	Hot water reflex epilepsy	ENSEMBL:ENSG00000106688	solute carrier family 1 member 1
ORPHANET:95	Friedreich ataxia	ENSEMBL:ENSG00000165060	frataxin
ORPHANET:597	Central core disease	ENSEMBL:ENSG00000196218	ryanodine receptor 1
ORPHANET:163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	ENSEMBL:ENSG00000100146	SRY-box transcription factor 10
ORPHANET:684	Paramyotonia congenita of Von Eulenburg	ENSEMBL:ENSG00000007314	sodium voltage-gated channel alpha subunit 4
ORPHANET:163937	X-linked intellectual disability, Najm type	ENSEMBL:ENSG00000147044	calcium/calmodulin dependent serine protein kinase
ORPHANET:614	Thomsen and Becker disease	ENSEMBL:ENSG00000188037	chloride voltage-gated channel 1
ORPHANET:163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	ENSEMBL:ENSG00000094631	histone deacetylase 6
ORPHANET:163976	X-linked intellectual disability, Van Esch type	ENSEMBL:ENSG00000101868	DNA polymerase alpha 1, catalytic subunit
ORPHANET:163956	X-linked intellectual disability, Nascimento type	ENSEMBL:ENSG00000077721	ubiquitin conjugating enzyme E2 A
ORPHANET:324	Fabry disease	ENSEMBL:ENSG00000102393	galactosidase alpha
ORPHANET:163985	Hyperekplexia-epilepsy syndrome	ENSEMBL:ENSG00000131089	Cdc42 guanine nucleotide exchange factor 9
ORPHANET:778	Rett syndrome	ENSEMBL:ENSG00000169057	methyl-CpG binding protein 2
ORPHANET:1941	Juvenile absence epilepsy	ENSEMBL:ENSG00000096093	EF-hand domain containing 1
ORPHANET:165805	Familial mesial temporal lobe epilepsy with febrile seizures	ENSEMBL:ENSG00000165078	carboxypeptidase A6
ORPHANET:100	Ataxia-telangiectasia	ENSEMBL:ENSG00000149311	ATM serine/threonine kinase
ORPHANET:166011	Multiple epiphyseal dysplasia, Beighton type	ENSEMBL:ENSG00000139219	collagen type II alpha 1 chain
ORPHANET:232	Sickle cell anemia	ENSEMBL:ENSG00000244734	hemoglobin subunit beta
ORPHANET:534	Oculocerebrorenal syndrome of Lowe	ENSEMBL:ENSG00000122126	OCRL inositol polyphosphate-5-phosphatase
ORPHANET:165991	Exercise-induced hyperinsulinism	ENSEMBL:ENSG00000155380	solute carrier family 16 member 1
ORPHANET:908	Fragile X syndrome	ENSEMBL:ENSG00000102081	fragile X messenger ribonucleoprotein 1
ORPHANET:47	X-linked agammaglobulinemia	ENSEMBL:ENSG00000010671	Bruton tyrosine kinase
ORPHANET:905	Wilson disease	ENSEMBL:ENSG00000123191	ATPase copper transporting beta
ORPHANET:792	X-linked retinoschisis	ENSEMBL:ENSG00000102104	retinoschisin 1
ORPHANET:15	Achondroplasia	ENSEMBL:ENSG00000068078	fibroblast growth factor receptor 3
ORPHANET:96	Ataxia with vitamin E deficiency	ENSEMBL:ENSG00000137561	alpha tocopherol transfer protein
ORPHANET:101	Dentatorubral pallidoluysian atrophy	ENSEMBL:ENSG00000111676	atrophin 1
ORPHANET:276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	ENSEMBL:ENSG00000147168	interleukin 2 receptor subunit gamma
ORPHANET:481	Kennedy disease	ENSEMBL:ENSG00000169083	androgen receptor
ORPHANET:664	Ornithine transcarbamylase deficiency	ENSEMBL:ENSG00000036473	ornithine transcarbamylase
ORPHANET:394	Classic homocystinuria	ENSEMBL:ENSG00000160200	cystathionine beta-synthase
ORPHANET:508	Leprechaunism	ENSEMBL:ENSG00000171105	insulin receptor
ORPHANET:429	Hypochondroplasia	ENSEMBL:ENSG00000068078	fibroblast growth factor receptor 3
ORPHANET:2182	Hydrocephalus with stenosis of the aqueduct of Sylvius	ENSEMBL:ENSG00000198910	L1 cell adhesion molecule
ORPHANET:163717	Benign familial mesial temporal lobe epilepsy	ENSEMBL:ENSG00000165078	carboxypeptidase A6
ORPHANET:649	Norrie disease	ENSEMBL:ENSG00000124479	norrin cystine knot growth factor NDP
ORPHANET:163727	Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	ENSEMBL:ENSG00000162065	TBC1 domain family member 24
ORPHANET:163684	Leukoencephalopathy-dystonia-motor neuropathy syndrome	ENSEMBL:ENSG00000116171	sterol carrier protein 2
ORPHANET:163681	CNTNAP2-related developmental and epileptic encephalopathy	ENSEMBL:ENSG00000174469	contactin associated protein 2
ORPHANET:644	NARP syndrome	ENSEMBL:ENSG00000198899	mitochondrially encoded ATP synthase membrane subunit 6
ORPHANET:637	Full NF2-related schwannomatosis	ENSEMBL:ENSG00000186575	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor
ORPHANET:163696	Action myoclonus-renal failure syndrome	ENSEMBL:ENSG00000138760	scavenger receptor class B member 2
ORPHANET:337	Fibrodysplasia ossificans progressiva	ENSEMBL:ENSG00000115170	activin A receptor type 1
ORPHANET:752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	ENSEMBL:ENSG00000130948	hydroxysteroid 17-beta dehydrogenase 3
ORPHANET:510	Lesch-Nyhan syndrome	ENSEMBL:ENSG00000165704	hypoxanthine phosphoribosyltransferase 1
ORPHANET:60	Alpha-1-antitrypsin deficiency	ENSEMBL:ENSG00000197249	serpin family A member 1
ORPHANET:896	Waardenburg syndrome type 3	ENSEMBL:ENSG00000135903	paired box 3
ORPHANET:894	Waardenburg syndrome type 1	ENSEMBL:ENSG00000135903	paired box 3
ORPHANET:682	Hyperkalemic periodic paralysis	ENSEMBL:ENSG00000007314	sodium voltage-gated channel alpha subunit 4
ORPHANET:800	Schwartz-Jampel syndrome	ENSEMBL:ENSG00000142798	heparan sulfate proteoglycan 2
ORPHANET:628	Diastrophic dysplasia	ENSEMBL:ENSG00000155850	solute carrier family 26 member 2
ORPHANET:2869	Peutz-Jeghers syndrome	ENSEMBL:ENSG00000118046	serine/threonine kinase 11
ORPHANET:53	Albers-Schönberg osteopetrosis	ENSEMBL:ENSG00000103249	chloride voltage-gated channel 7
ORPHANET:14	Abetalipoproteinemia	ENSEMBL:ENSG00000138823	microsomal triglyceride transfer protein
ORPHANET:167	Chédiak-Higashi syndrome	ENSEMBL:ENSG00000143669	lysosomal trafficking regulator
ORPHANET:192	Coffin-Lowry syndrome	ENSEMBL:ENSG00000177189	ribosomal protein S6 kinase A3
ORPHANET:169808	Mild hemophilia A	ENSEMBL:ENSG00000185010	coagulation factor VIII
ORPHANET:169802	Severe hemophilia A	ENSEMBL:ENSG00000185010	coagulation factor VIII
ORPHANET:169805	Moderate hemophilia A	ENSEMBL:ENSG00000185010	coagulation factor VIII
ORPHANET:562	McCune-Albright syndrome	ENSEMBL:ENSG00000087460	GNAS complex locus
ORPHANET:565	Menkes disease	ENSEMBL:ENSG00000165240	ATPase copper transporting alpha
ORPHANET:258	Laminin subunit alpha 2-related congenital muscular dystrophy	ENSEMBL:ENSG00000196569	laminin subunit alpha 2
ORPHANET:169464	Primary CD59 deficiency	ENSEMBL:ENSG00000085063	CD59 molecule (CD59 blood group)
ORPHANET:87	Apert syndrome	ENSEMBL:ENSG00000066468	fibroblast growth factor receptor 2
ORPHANET:97	Familial paroxysmal ataxia	ENSEMBL:ENSG00000141837	calcium voltage-gated channel subunit alpha1 A
ORPHANET:169467	Recurrent Neisseria infections due to factor D deficiency	ENSEMBL:ENSG00000197766	complement factor D
ORPHANET:169799	Mild hemophilia B	ENSEMBL:ENSG00000101981	coagulation factor IX
ORPHANET:169796	Moderate hemophilia B	ENSEMBL:ENSG00000101981	coagulation factor IX
ORPHANET:169793	Severe hemophilia B	ENSEMBL:ENSG00000101981	coagulation factor IX
ORPHANET:1000	Ocular albinism with late-onset sensorineural deafness	ENSEMBL:ENSG00000065000	adaptor related protein complex 3 subunit delta 1
ORPHANET:171445	Muscle filaminopathy	ENSEMBL:ENSG00000128591	filamin C
ORPHANET:1349	Mitochondrial DNA-related cardiomyopathy and hearing loss	ENSEMBL:ENSG00000210156	mitochondrially encoded tRNA-Lys (AAA/G)
