Drug_Name	DRUG_CURIES	Gene_Symbol	GENE_CURIES	Disease_Name	DISEASE_CURIES
Betamethasone	PUBCHEM.COMPOUND:9782	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Betamethasoneacetate	PUBCHEM.COMPOUND:443967	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Cortisoneacetate	PUBCHEM.COMPOUND:5745	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Dexamethasone	PUBCHEM.COMPOUND:5743	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Hydrocortisone	PUBCHEM.COMPOUND:5754	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Hydrocortisoneacetate	PUBCHEM.COMPOUND:5744	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Methylprednisolone	PUBCHEM.COMPOUND:6741	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Methylprednisoloneacetate	PUBCHEM.COMPOUND:5877	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Prednisolone	PUBCHEM.COMPOUND:5755	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Prednisone	PUBCHEM.COMPOUND:5865	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Tetracosactideacetate	PUBCHEM.COMPOUND:16133802	MC2R	NCBIGene:4158	adrenocorticalinsufficiency	MONDO:0000004
Triamcinolone	PUBCHEM.COMPOUND:31307	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Triamcinoloneacetonide	PUBCHEM.COMPOUND:6436	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Triamcinolonediacetate	PUBCHEM.COMPOUND:6216	NR3C1	NCBIGene:2908	adrenocorticalinsufficiency	MONDO:0000004
Sermorelina	PUBCHEM.COMPOUND:16132413	GHRHR	NCBIGene:2692	isolatedcongenitalgrowthhormonedeficiency	MONDO:0000050
SOMATROPIN	CHEMBL.COMPOUND:CHEMBL1201621	GHR	NCBIGene:2690	isolatedcongenitalgrowthhormonedeficiency	MONDO:0000050
Histrelin	PUBCHEM.COMPOUND:25077993	GNRHR	NCBIGene:2798	precociouspuberty	MONDO:0000088
Leuprorelin	PUBCHEM.COMPOUND:657181	GNRHR	NCBIGene:2798	precociouspuberty	MONDO:0000088
Nafarelin	PUBCHEM.COMPOUND:25077405	GNRHR	NCBIGene:2798	precociouspuberty	MONDO:0000088
Amiodarone	PUBCHEM.COMPOUND:2157	KCNH2	NCBIGene:3757	ventricularfibrillation	MONDO:0000190
